Authors,Link,Title,Reviewer1,Reviewer2,Reviewer3,Reviewer4,Reviewer5,min,mode,overall,agreement,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Abstract
Chan T.K.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073688806&doi=10.21315%2fjcdc2019.24.1.4&partnerID=40&md5=cbaefe4c549d347a668e59b5ee38aa02,Building and construction research in Malaysia: A bibliometric analysis,,0,,,-1,0,#N/A,0,1,2019,Journal of Construction in Developing Countries,24,1,,65,84,19,10.21315/jcdc2019.24.1.4,"This paper presents a bibliometric analysis of building and construction research authored by researchers reporting an affiliation to institutions in Malaysia from years 2000 to 2015. The objectives are to identify the most productive research institutions and researchers, the research themes at these institutions, the output and impact of the research carried out and the most prolific authors. A search on the Scopus database identified 1,668 articles published during this period. The results indicate that research output was primarily from the five public research universities reflecting their privileged funding model and that output had increased rapidly in recent years. Topics of research were broad ranging from materials and structures in the engineering field, to the more conventional construction management and building science topics. Although numerous authors from Malaysia have high citation counts and h-indices, the overall impact of the research was low with many articles either published in low impact journals or received few citations. There is evidence of publication inflation where the increase in publication counts have not been matched by a comparable increase in citation counts. National innovation or research funding policies must rigorously address both the quantity and quality of research outputs to accurately assess impact. © Penerbit Universiti Sains Malaysia, 2019."
Song Q.; Tan Y.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176218996&doi=10.3389%2ffendo.2023.1242643&partnerID=40&md5=953faeb58094c173f554b4921c79d92f,Knowledge mapping of the relationship between norepinephrine and memory: a bibliometric analysis,0,,,,-1,0,#N/A,0,1,2023,Frontiers in Endocrinology,14,,1242643,,,,10.3389/fendo.2023.1242643,"Introduction: Memory is a fundamental cognitive function for successful interactions with a complex environment. Norepinephrine (NE) is an essential component of catecholamine induced by emotional arousal, and numerous studies have demonstrated that NE is a key regulator in memory enhancement. We therefore conducted a bibliometric analysis to represent the knowledge pattern of the literature on the theme of NE-memory relationship. Methods: The WOSCC database was selected to extract literature published during 2003-2022. The collected data of annual production, global cooperation, research structure and hotspots were analyzed and visualized. Results: Our results showed that research on the links between NE and memory displayed a considerable development trend over the last two decades. The USA had a leading position in terms of scientific outputs and collaborations. Meanwhile, University of California Irvine contributed the most publications. Benno Roozendaal and James McGaugh were the most prolific authors in this field, and Neurobiology of Learning and Memory had the highest number of publications on this topic. The research emphasis has evolved from memory-related diseases and brain regions to neural mechanisms for different types of memory at neural circuit levels. Conclusion: Our bibliometric analysis systematically analyzed the literature on the links between NE and memory from a bibliometric perspective. The demonstrated results of the knowledge mapping would provide valuable insights into the global research landscape. Copyright © 2023 Song and Tan."
Pandey D.K.; Lucey B.M.; Kumar S.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156273291&doi=10.1016%2fj.ribaf.2023.101972&partnerID=40&md5=3554ba1e4c33ff6e3e675d4f4cf4e5ff,"Border disputes, conflicts, war, and financial markets research: A systematic review",,0,,,-1,0,#N/A,0,1,2023,Research in International Business and Finance,65,,101972,,,,10.1016/j.ribaf.2023.101972,"Border disputes, conflicts, and war have long existed and have evidenced impacts on financial markets. However, the extant literature needs to be revisited in light of existing contributions and underlying gaps to provide further insights into future research agendas. We conducted a bibliometric analysis of 215 articles published in high-quality journals to show the publication and citation trends in the war literature concentrated on financial markets. Concomitantly, while highlighting the most influential articles, contemporary themes, and the intellectual structure of the war literature on financial markets, we show the top contributing journals with the most prolific authors and their affiliated countries. Extant literature sheds light on how border disputes, conflicts, and war, while impacting macroeconomic variables, have impacted returns, volatility, and stability of the global financial markets. We provide eight clusters defining the concentration of the available literature and six broader areas directing future research. © 2023 The Authors"
Quiroz-Flores J.C.; Collao-Diaz M.F.; Sobya D.; Nallusamy S.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178267995&doi=10.14445%2f23488549%2fIJECE-V10I10P101&partnerID=40&md5=aa2e79ef4e9e4b7fbc8d4a096944a061,RFID Technology in Storage Management: A Bibliometric Study on Efficiency and Cost Reduction in the Retail Sector,0,,,,-1,0,#N/A,0,1,2023,SSRG International Journal of Electronics and Communication Engineering,10,10,,,,,10.14445/23488549/IJECE-V10I10P101,"All retail companies have stock issues regardless of size or age. Radio-Frequency Identification (RFID) technology might be used to keep tabs on tagged goods in the warehouse and provide a more reliable stock count. This study focuses on using RFID technology for inventory management and supply chain processes in the retail sector. Bibliographic reviews of articles published in Scopus between 2017 and 2021 with keywords were used as the methodology. 188 english-language articles from peer-reviewed academic journals were chosen for analysis and visualization using VOS viewer and bibliometrix software. The findings suggest that incorporating RFID into inventory management and supply chain operations can boost efficiency and cut costs in the retail sector. Countries and periodicals with the highest output of RFID-related articles in the niche market were determined, along with the most prolific authors and critical terms in this literature. Furthermore, a positive correlation was discovered between strategic management accounting and the supply chain, and the significance of cooperation and coordination within the supply chain was highlighted. The study’s limitations include its reliance on Scopus as its sole data source. However, managers and decision-makers in the small business sector may find the study’s findings helpful when contemplating RFID implementation for inventory management and supply chain tracking. © 2023 Seventh Sense Research Group®."
Sun J.; Guo F.; Ran J.; Wu H.; Li Y.; Wang M.; Wang X.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167666095&doi=10.3390%2fnu15153374&partnerID=40&md5=8dbf2ab0693a84ad513e838379da6830,"Bibliometric and Visual Analysis of Global Research on Taurine, Creatine, Carnosine, and Anserine with Metabolic Syndrome: From 1992 to 2022",,0,,,-1,0,#N/A,0,1,2023,Nutrients,15,15,3374,,,,10.3390/nu15153374,"Red meat and animal-sourced protein are often disparaged as risk factors for developing metabolic syndrome, while emerging research has shown the beneficial effects of dietary taurine, creatine, carnosine, and anserine which are all exclusively abundant in red meat. Thus, it is imperative to highlight the available evidence to help promote red meat as part of a well-balanced diet to optimize human health. In this study, a bibliometric analysis was conducted to investigate the current research status of dietary taurine, creatine, carnosine, and anserine with metabolic syndrome, identify research hotspots, and delineate developmental trends by utilizing the visualization software CiteSpace. A total of 1094 publications were retrieved via the Web of Science Core Collection from 1992 to 2022. There exists a gradual increase in the number of publications on this topic, but there is still much room for research papers to rise. The United States has participated in the most studies, followed by China and Japan. The University of Sao Paulo was the research institute contributing the most; Kyung Ja Chang and Sanya Roysommuti have been identified as the most prolific authors. The analysis of keywords reveals that obesity, lipid profiles, blood pressure, and glucose metabolism, as well as ergogenic aid and growth promoter have been the research hotspots. Inflammation and diabetic nephropathy will likely be frontiers of future research related to dietary taurine, creatine, carnosine, and anserine. Overall, this paper may provide insights for researchers to further delve into this field and enlist the greater community to re-evaluate the health effects of red meat. © 2023 by the authors."
Ying T.; Wenjing Q.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167450270&doi=10.1177%2f10567879231193344&partnerID=40&md5=65dc858d7f187a3689b09ad78aa16b7c,Understanding the Sino-Foreign Cooperative Education in China: A Bibliometric Approach,0,,,,-1,0,#N/A,0,1,2023,International Journal of Educational Reform,,,,,,,10.1177/10567879231193344,"Sino-Foreign Cooperative Education (SFCE) is a form of international education with Chinese characteristics and it is an integral part of the Chinese education system. The aim of the research was to examine how the SFCE developed from 1995 to 2022. For this purpose, the method of bibliometric analysis was used in this study. This systematic literature review examined 537 articles published in CSSCI, CSCD, and PKU databases. The literature was analyzed with regards to the distribution of publications by year, author, institution/organization and journal. Additionally, visual maps were created with analyses of coauthor, co-words and thematic clusters from COOC and VOSviewer. The results show that SFCE has become a compelling issue. However, the publications in the national academic community were small. The most prolific authors were found to be Lin Jinhui, Guo Qiang, and Liu Mengjin. It was also found that the Xiamen University Educational Institute was the most productive institution and China Adult Education was the top journal in SFCE research. As a result of the bibliometric analysis, there is little cooperation between scientists and institutions in the field of SFCE. According to the co-words and thematic cluster analysis, five main clusters were formed. In the future, in-depth research on vocational education, Sino-Foreign Cooperative universities and countermeasures under the epidemic will become the new trend. A mixed research approach should be more adopted in the research methodology, and the research perspective from different interest subjects should be expanded in the future. © The Author(s) 2023."
Irwanto I.; Saputro A.D.; Widiyanti W.; Laksana S.D.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147880954&doi=10.18178%2fijiet.2023.13.2.1816&partnerID=40&md5=770a042e8237465cc07283f6e8e1c016,Global Trends on Mobile Learning in Higher Education: A Bibliometric Analysis (2002–2022),,0,,,-1,0,#N/A,0,1,2023,International Journal of Information and Education Technology,13,2,,373,383,10,10.18178/ijiet.2023.13.2.1816,"This study explores the research landscape of mobile learning in the context of higher education (MLHE) by conducting a comprehensive bibliometric analysis over the years. A total of 2477 papers published in peer-reviewed journals and conferences up to May 2022 were retrieved from the Scopus database. The results revealed an increase in MLHE research over time with a peak in 2021. The first paper was published in 2002, indicating the beginning of the field. The works of J. Gikas and M. M. Grant, L. F. Motiwalla, and J. Cheon et al. stand out as the most cited articles among the analyzed documents. T. Cochrane, F. J. García-Peñalvo, and H. Farley are the most prolific authors. ACM International Conference Proceeding Series, International Journal of Interactive Mobile Technologies, and International Journal of Mobile Learning and Organisation are the most productive sources. University of Salamanca, Science University of Malaysia (Universiti Sains Malaysia), and the University of Southern Queensland are the most active institutions. China, the US, and the UK are the most relevant countries. Keywords such as “mobile learning”, “m-learning”, “higher education”, “e-learning”, and “mobile devices” remain the trending keywords in this area. This review offers a comprehensive overview of scientific production and the future direction of the field. © 2023, International Journal of Information and Education Technology."
Mohamed B.; Marzouk M.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160041966&doi=10.1186%2fs40494-023-00947-y&partnerID=40&md5=d63e8fb6fd668ab35d8a7876d70f09fa,Bibliometric analysis and visualisation of heritage buildings preservation,0,,,,-1,0,#N/A,0,1,2023,Heritage Science,11,1,101,,,,10.1186/s40494-023-00947-y,"Heritage buildings are considered a source of pride for countries, and their preservation is an important pursuit. Different techniques have been adopted in this regard, and many review papers have addressed them either qualitatively or quantitatively through bibliometric analysis. Nevertheless, none of these review studies conducted a general dynamic quantitative analysis of the vast amount of scientific literature about heritage buildings preservation (HBP) research domain over time. Therefore, the current study performs a bibliometric analysis of the relevant literature considering a time of two decades (2002–2022). A total of 863 peer-reviewed journal articles were extracted from the Web of Science Core Collection database. A five-step methodology was followed employing VOSviewer, CiteSpace, and Biblioshiny as the bibliometric software tools. The main findings revealed the annual publication trends and the most prominent articles. It was also found that 60% of the literature publications were published in journals, and only 2.4% corresponded to review studies. The scientific collaboration networks showed the most prolific researchers and countries. Further, the citation analysis of journals identified the most reliable information sources for academic researchers. Finally, the conceptual and intellectual knowledge structures were visualised and studied via science mapping analysis to map the research domain evolution and determine its trending patterns and promising areas for future exploration. The conducted review provides fellow researchers with a systematic summarised database to be familiarized with the HBP literature and identify potential research opportunities to conduct state-of-the-art research with the top contributors in the field (researchers, journals, and countries). In addition, policymakers can utilize the results from this research to find expert authors and academic support to facilitate forming partnerships to plan and fund relevant research and address the practical implications of preserving valuable heritage buildings. © 2023, The Author(s)."
Soukaina S.; Khadija L.; Khalid B.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185402502&doi=10.1109%2fCiSt56084.2023.10409937&partnerID=40&md5=07931fb99d4b063bc46bd20b86e9d94c,Gesture Recognition and Computer Vision:A Bibliometric Analysis,,0,,,-1,0,#N/A,0,1,2023,"Colloquium in Information Science and Technology, CIST",,,,77,80,3,10.1109/CiSt56084.2023.10409937,"Recently, human-computer interaction (HCI) has been developed significantly. The recent technologies and techniques are used to improve how humans interact with machines. Gesture recognition is one such development, which allows for more natural and effective interaction between humans and computers. This work is a bibliometric analysis that aims to provide an overview of research trends in the field of gesture recognition. To achieve this goal, we conducted a systematic search of the Scopus database, selecting articles published between 2012 and 2022. A total of1,703 articles were analyzed. This analysis focused on several aspects, including the number of publications, the most prolific authors, and the top journals in the field. The findings of this study shed light on the research trends and priorities in gesture recognition. © 2023 IEEE."
Chhabra H.S.; Phadke V.; Manghwani J.; El-Sharkawi M.; Butler J.S.; Benneker L.M.; Vialle E.; Hazenbiller O.; Bransford R.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174294358&doi=10.1177%2f21925682231205104&partnerID=40&md5=2b37ffcb49270a13b8b3a4c4eef4bc1a,An Assessment of the World’s Contribution to Spine Trauma Care: A Bibliometric Analysis of Classifications and Surgical Management; An AO Spine Knowledge Forum Trauma Initiative,0,,,,-1,0,#N/A,0,1,2023,Global Spine Journal,,,,,,,10.1177/21925682231205104,"Study Design: Bibliometric analysis. Objectives: An analysis of the literature related to the assessment and management of spinal trauma was undertaken to allow the identification of top contributors, collaborations and research trends. Methods: A search to identify original articles published in English between 2011 and 2020 was done using specific keywords in the Web of Science database. After screening, the top 300 most cited articles were analyzed using Biblioshiny R software. Results: The highest number of contributions were from the Thomas Jefferson University, USA, University of Toronto and University of British Columbia, Canada. The top 3 most prolific authors were Vaccaro AR, Arabi B, and Oner FC. The USA and Canada were among the top contributing countries; Switzerland and Brazil had most multiple country co-authored articles. The most relevant journals were the European Spine Journal, Spine and Spine Journal. Three of the 5 most cited articles were about classification systems of fractures. The keyword analysis included clusters for different spinal regions, spinal cord injury, classification agreement and reliability studies, imaging related studies, surgical techniques and outcomes. Conclusions: The study identified the most impactful authors and affiliations, and determined the journals where most impactful research is published in the field. Study also compared the productivity and collaborations across countries. The study highlighted the impact of development of new classification systems, and identified research trends including instrumentation, fixation and decompression techniques, epidemiology and recovery after spinal trauma. © The Author(s) 2023."
