
Key,Url,Title,Item Type,Publication Year,Author,Reviewer1,Reviewer2,Reviewer3,Reviewer4,Reviewer5,Overall,Agreement,Comment,Publication Title,ISBN,ISSN,DOI,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
SBLYAWT8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101967110&doi=10.1007%2fs11192-021-03898-y&partnerID=40&md5=b587bef4ddd461dc952835185757c5fa,Characteristics of high research performance authors in the field of library and information science and those of their articles,journalArticle,2021,"Chang, Yu-Wei",,,-1,-1,,-1,1,,Scientometrics,,1389130,10.1007/s11192-021-03898-y,,2021,2024-06-07 14:43:56,2024-06-07 14:43:56,,3373 – 3391,,4,126,,,,,,,,,,,,,,,,,Publisher: Springer Science and Business Media B.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468582QN,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116044736&doi=10.1080%2f08989621.2021.1982705&partnerID=40&md5=2c282f92f7e823db2fbe15b6aa93bc38,Authorship commerce: Bylines for sale,journalArticle,2023,"Chirico, Francesco; Bramstedt, Katrina Andrea",-1,-1,,,,-1,1,NO ACCESS TO THE FULL ARTICLE,Accountability in Research,,8989621,10.1080/08989621.2021.1982705,,2023,2024-06-07 14:43:56,2024-06-07 14:43:56,,246 – 251,,4,30,,,,,,,,,,,,,,,,,Publisher: Taylor and Francis Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZRNMXVU,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099220565&doi=10.1038%2fs41598-020-79447-z&partnerID=40&md5=aa966e22c9f39d70678860c99d005913,Interplay between success and patterns of human collaboration: case study of a Thai Research Institute,journalArticle,2021,"Fiscarelli, Antonio Maria; Brust, Matthias R.; Bouffanais, Roland; Piyatumrong, Apivadee; Danoy, Grégoire; Bouvry, Pascal",-1,,-1,,,-1,1,,Scientific Reports,,20452322,10.1038/s41598-020-79447-z,,2021,2024-06-07 14:43:57,2024-06-07 14:43:57,,,,1,11,,,,,,,,,,,,,,,,,Publisher: Nature Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R75U8MXU,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135538961&doi=10.3138%2fjsp-2021-0021&partnerID=40&md5=336fd093310f1df46cd002d79d1be040,Achieving a Professorship with Proper Academic Merit Discouraging Questionable Publishing,journalArticle,2022,"Frandsen, Tove Faber; Lamptey, Richard Bruce; Borteye, Edward Mensah; Teye, Victor",,,-1,-1,,-1,1,Free access at https://findresearcher.sdu.dk/ws/portalfiles/portal/208974967/Promotion_preprint.pdf Shared by authors,Journal of Scholarly Publishing,,11989742,10.3138/jsp-2021-0021,,2022,2024-06-07 14:43:57,2024-06-07 14:43:57,,155 – 167,,3,53,,,,,,,,,,,,,,,,,Publisher: University of Toronto Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WB39L8T4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049621139&doi=10.1215%2f18752160-4275144&partnerID=40&md5=5a6f0c1b6b8eb7982666b9d9a0384843,How metrics-based academic evaluation could systematically induce academic misconduct: A case study,journalArticle,2018,"Han, Junhui; Li, Zhengfeng",-1,,,,-1,-1,0,NO ACCESS TO THE FULL ARTICLE,"East Asian Science, Technology and Society",,18752160,10.1215/18752160-4275144,,2018,2024-06-07 14:43:59,2024-06-07 14:43:59,,165 – 179,,2,12,,,,,,,,,,,,,,,,,Publisher: Duke University Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X2EX2WBT,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174950962&doi=10.1007%2fs11192-023-04852-w&partnerID=40&md5=7d31f7d9c15a06aa9dc301b1aaf5c3e4,Some thoughts on transparency of the data and analysis behind the Highly Cited Researchers list,journalArticle,2023,"Klein, Alexandra-Maria; Kranke, Nina",-1,-1,,,,-1,1,,Scientometrics,,1389130,10.1007/s11192-023-04852-w,,2023,2024-06-07 14:44:01,2024-06-07 14:44:01,,6773 – 6780,,12,128,,,,,,,,,,,,,,,,,Publisher: Akademiai Kiado ZRt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B453PJ3U,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075588136&doi=10.1007%2fs11192-019-03092-1&partnerID=40&md5=989db1d425665145c62ec10380f1be84,Examining how country-level science policy shapes publication patterns: The case of Poland,journalArticle,2019,"Korytkowski, Przemysław; Kulczycki, Emanuel",,-1,-1,,,-1,1,,Scientometrics,,1389130,10.1007/s11192-019-03092-1,,2019,2024-06-07 14:44:01,2024-06-07 14:44:01,,1519 – 1543,,3,119,,,,,,,,,,,,,,,,,Publisher: Springer Science and Business Media B.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6J5HEPD3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991672288&doi=10.1371%2fjournal.pone.0162709&partnerID=40&md5=8c2572baa2fb18c0a0dd357079b50a6a,How many is too many? On the relationship between research productivity and impact,journalArticle,2016,"Larivière, Vincent; Costas, Rodrigo",-1,,-1,,,-1,1,,PLoS ONE,,19326203,10.1371/journal.pone.0162709,,2016,2024-06-07 14:44:02,2024-06-07 14:44:02,,,,9,11,,,,,,,,,,,,,,,,,Publisher: Public Library of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I2TI9JVD,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185485810&doi=10.1002%2fasi.24876&partnerID=40&md5=3323b352ac77da6a47f4f2ace58bce16,Understanding super-partnerships in scientific collaboration: Evidence from the field of economics,journalArticle,2024,"Liu, Junwan; Guo, Xiaofei; Xu, Shuo; Bu, Yi; Sugimoto, Cassidy R.; Larivière, Vincent; Song, Yinglu; Zhou, Honghao",,,-1,-1,,-1,1,,Journal of the Association for Information Science and Technology,,23301635,10.1002/asi.24876,,2024,2024-06-07 14:44:03,2024-06-07 14:44:03,,,,,,,,,,,,,,,,,,,,,,Publisher: John Wiley and Sons Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPRT9HV2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961204477&doi=10.1007%2fs11948-016-9766-1&partnerID=40&md5=e23c0d5160118ad696c0ffeaade904d8,Chinese and Iranian Scientific Publications: Fast Growth and Poor Ethics,journalArticle,2017,"Ataie-Ashtiani, Behzad",,-1,,,-1,-1,1,letter,Science and Engineering Ethics,,13533452,10.1007/s11948-016-9766-1,,2017,2024-06-07 14:43:53,2024-06-07 14:43:53,,317 – 319,,1,23,,,,,,,,,,,,,,,,,Publisher: Springer Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
